dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-30 02:08:54.531Z,6.6106434604843995,,,,,,,60,1196,4.834974,65.19254302978516,40.6867561340332,44.74978256225586,32.437259674072266,,,,,,1011.4124755859375,-88.0,,2.0,11.124415397644043,8,3496330
2024-11-30 02:18:54.451Z,6.595866928219637,,,,,,,60,1190,4.8017473,65.12845611572266,40.728919982910156,47.64065933227539,32.849178314208984,,,,,,1011.3880004882812,-88.0,,-6.0,11.104273796081543,8,3496930
2024-11-30 02:28:55.891Z,6.588926302144715,,,,,,,60,1182,4.78521,65.16202545166016,40.8202018737793,46.46225357055664,32.71516799926758,,,,,,1011.464599609375,-108.0,,1.0,11.079096794128418,4,3497530
2024-11-30 02:39:05.333Z,6.586700213160384,,,,,,,60,1173,4.7786236,65.26273345947266,40.75906753540039,45.337947845458984,32.923274993896484,,,,,,1011.3932495117188,-88.0,,0.0,11.048884391784668,6,3498130
2024-11-30 02:48:54.852Z,6.577118226565714,,,,,,,60,1173,4.7569013,65.22916412353516,40.965084075927734,52.5643424987793,32.70687484741211,,3.884706974029541,3.673614978790283,3.8847079277038574,3.884706974029541,1011.306396484375,-88.0,,2.0,11.033778190612793,5,3498730
2024-11-30 02:58:54.698Z,6.574529272952401,,,,,,,60,1171,4.750682,65.24442291259766,40.852352142333984,46.57113265991211,32.84821701049805,,,,,,1011.3128051757812,-89.0,,-1.0,11.023707389831543,7,3499330
2024-11-30 03:08:54.612Z,6.579794729311419,,,,,,,60,1170,4.760982,65.37870025634766,41.04263687133789,47.25563430786133,33.2497673034668,,,,,,1011.37451171875,-87.0,,4.0,11.003565788269043,3,3499930
2024-11-30 03:18:54.451Z,6.597687905408825,,,,,,,60,1173,4.799588,65.57707214355469,41.18410110473633,50.5794792175293,33.3036994934082,,,,,,1011.5289306640625,-87.0,,4.0,10.998530387878418,6,3500530
2024-11-30 03:28:54.291Z,6.590557334089336,,,,,,,60,1174,4.783226,65.56791687011719,41.04665756225586,52.359397888183594,32.83956527709961,,,,,,1011.408935546875,-88.0,,3.0,10.983424186706543,10,3501130
2024-11-30 03:38:54.693Z,6.597381504341034,,,,,,,60,1185,4.797759,65.65641784667969,41.267818450927734,49.24385452270508,32.97264099121094,,,,,,1011.4013061523438,-88.0,,2.0,10.978388786315918,9,3501730
2024-11-30 03:48:54.691Z,6.603659756486142,,,,,,,60,1184,4.8108034,65.76017761230469,41.793338775634766,57.95958709716797,33.03300094604492,,7.09578275680542,3.582519769668579,5.267419815063477,6.446954727172852,1011.3031005859375,-89.0,,2.0,10.968317985534668,9,3502330
2024-11-30 03:58:54.535Z,6.597688155407423,,,,,,,60,1185,4.7984247,65.65946960449219,41.54176712036133,50.307376861572266,32.2982292175293,,,,,,1011.4004516601562,-90.0,,2.0,10.978388786315918,5,3502930
2024-11-30 04:08:54.455Z,6.586874242558552,,,,,,,60,1184,4.7728925,65.69609069824219,40.72160720825195,45.761959075927734,32.845333099365234,,,,,,1011.261474609375,-88.0,,0.0,10.943140983581543,8,3503530
2024-11-30 04:19:05.332Z,6.5803456571525105,,,,,,,60,1184,4.756656,65.77543640136719,40.76869583129883,45.54964828491211,32.62992477416992,,,,,,1011.1422119140625,-88.0,,3.0,10.907893180847168,10,3504130
2024-11-30 04:28:54.210Z,6.562772000046556,,,,,,,60,1177,4.7166243,65.72355651855469,41.09499740600586,50.594058990478516,32.7899284362793,,,,,,1011.1142578125,-87.0,,2.0,10.877680778503418,6,3504730
2024-11-30 04:38:54.612Z,6.555205938696736,,,,,,,60,1165,4.69866,65.75102233886719,41.20901107788086,46.30949020385742,33.60238265991211,,,,,,1011.1812744140625,-88.0,,3.0,10.852503776550293,2,3505330
2024-11-30 04:48:55.252Z,6.537549009241192,,,,,,,60,1150,4.658899,65.65641784667969,41.35566329956055,58.05488967895508,33.07473373413086,,6.358619689941406,3.6209568977355957,4.960236549377441,5.862377643585205,1011.1652221679688,-112.0,,1.0,10.832362174987793,2,3505930
2024-11-30 04:58:54.622Z,6.526758826563067,-0.6129119992256165,78.14627075195312,-1.8387359380722046,78.14627075195312,-10.419503211975098,71.40424346923828,60,1132,4.634685,65.58927917480469,45.51713943481445,70.10266876220703,33.2213020324707,,,,,,1011.115234375,-110.0,78.14627075195312,4.0,10.822291374206543,0,3506530
2024-11-30 05:08:57.148Z,6.493077615177779,19.535037994384766,19.535037994384766,0.03830399736762047,0.03830399736762047,-9.346175193786621,-9.346175193786621,60,1109,4.5595326,65.33292388916016,47.73139572143555,58.65438461303711,38.30705642700195,,,,,,1011.1143188476562,-84.0,,0.0,10.802149772644043,0,3507130
2024-11-30 05:18:54.457Z,6.517800176765565,,,,,,,60,1093,4.614457,65.54045104980469,49.55817794799805,69.04663848876953,37.27577590942383,,,,,,1011.1370239257812,-84.0,,-1.0,10.812220573425293,0,3507730
2024-11-30 05:28:55.975Z,6.564715722386041,,,,,,,60,1090,4.716217,66.07451629638672,55.33477020263672,75.71324920654297,36.98427963256836,,,,,,1011.0299682617188,-90.0,,-5.0,10.797114372253418,0,3508330
